"Id","Season","Week","Neutral Site","Conference Game","Home Id","Home Team","Home Conference","Home Pregame Elo","Away Id","Away Team","Away Conference","Away Pregame Elo"
"401532429","2023","8","false","true","189","Bowling Green","Mid-American","1210","2006","Akron","Mid-American","1096"
"401520334","2023","8","false","true","8","Arkansas","SEC","1626","344","Mississippi State","SEC","1520"
"401524038","2023","8","false","true","264","Washington","Pac-12","1536","9","Arizona State","Pac-12","1614"
"401532426","2023","8","false","true","2459","Northern Illinois","Mid-American","1376","2199","Eastern Michigan","Mid-American","1380"
"401524037","2023","8","false","true","30","USC","Pac-12","1487","254","Utah","Pac-12","1790"
"401525872","2023","8","false","true","277","West Virginia","Big 12","1490","197","Oklahoma State","Big 12","1775"
"401525528","2023","8","false","true","59","Georgia Tech","ACC","1346","103","Boston College","ACC","1443"
"401520340","2023","8","false","true","127","Michigan State","Big Ten","1563","130","Michigan","Big Ten","1848"
"401525870","2023","8","false","true","2306","Kansas State","Big 12","1616","2628","TCU","Big 12","1436"
"401520333","2023","8","false","true","333","Alabama","SEC","1979","2633","Tennessee","SEC","1640"
"401531397","2023","8","false","true","2226","Florida Atlantic","American Athletic","1427","2636","UT San Antonio","American Athletic","1512"
"401525529","2023","8","false","true","2390","Miami","ACC","1570","228","Clemson","ACC","1766"
"401525869","2023","8","false","true","248","Houston","Big 12","1620","251","Texas","Big 12","1633"
"401520343","2023","8","false","true","194","Ohio State","Big Ten","1932","213","Penn State","Big Ten","1670"
"401520337","2023","8","false","true","84","Indiana","Big Ten","1330","164","Rutgers","Big Ten","1365"
"401531434","2023","8","false","false","2426","Navy","American Athletic","1403","2005","Air Force","Mountain West","1650"
"401531894","2023","8","false","true","290","Georgia Southern","Sun Belt","1382","2433","Louisiana Monroe","Sun Belt","1207"
"401532425","2023","8","false","true","2050","Ball State","Mid-American","1410","2117","Central Michigan","Mid-American","1536"
"401532430","2023","8","false","true","2309","Kent State","Mid-American","1340","2084","Buffalo","Mid-American","1382"
"401520344","2023","8","false","false","41","Connecticut","FBS Independents","1117","58","South Florida","American Athletic","1284"
"401532600","2023","8","false","true","167","New Mexico","Mountain West","1229","62","Hawai'i","Mountain West","1432"
"401532602","2023","8","false","true","23","San José State","Mountain West","1338","328","Utah State","Mountain West","1566"
"401532599","2023","8","false","true","2439","UNLV","Mountain West","1300","36","Colorado State","Mountain West","1399"
"401520345","2023","9","false","true","2348","Louisiana Tech","Conference USA","1301","166","New Mexico State","Conference USA","1184"
"401520346","2023","9","false","true","98","Western Kentucky","Conference USA","1684","2335","Liberty","Conference USA","1600"
"401520347","2023","9","false","true","2229","Florida International","Conference USA","","55","Jacksonville State","Conference USA",""
"401520348","2023","9","false","true","2534","Sam Houston State","Conference USA","","2638","UTEP","Conference USA",""
"401531929","2023","9","false","true","290","Georgia Southern","Sun Belt","1382","2247","Georgia State","Sun Belt","1522"
"401525533","2023","9","false","true","259","Virginia Tech","ACC","1412","183","Syracuse","ACC","1405"
"401531407","2023","9","false","true","2429","Charlotte","American Athletic","1272","2226","Florida Atlantic","American Athletic","1427"
"401525876","2023","9","false","true","197","Oklahoma State","Big 12","1775","2132","Cincinnati","Big 12","1801"
"401532607","2023","9","false","true","68","Boise State","Mountain West","1664","2751","Wyoming","Mountain West","1497"
"401531373","2023","9","false","true","242","Rice","American Athletic","1245","2655","Tulane","American Athletic","1444"
"401531342","2023","9","false","true","2567","SMU","American Athletic","1574","202","Tulsa","American Athletic","1502"
"401532432","2023","9","false","true","195","Ohio","Mid-American","1368","193","Miami (OH)","Mid-American","1516"
"401531398","2023","9","false","true","2636","UT San Antonio","American Athletic","1512","151","East Carolina","American Athletic","1518"
"401532606","2023","9","false","true","278","Fresno State","Mountain West","1590","2439","UNLV","Mountain West","1300"
"401520350","2023","9","false","true","2","Auburn","SEC","1632","344","Mississippi State","SEC","1520"
"401532431","2023","9","false","true","2199","Eastern Michigan","Mid-American","1380","2711","Western Michigan","Mid-American","1538"
"401524041","2023","9","false","true","25","California","Pac-12","1510","30","USC","Pac-12","1487"
"401525878","2023","9","false","true","2116","UCF","Big 12","1569","277","West Virginia","Big 12","1490"
"401524043","2023","9","false","true","26","UCLA","Pac-12","1667","38","Colorado","Pac-12","1387"
"401520360","2023","9","false","true","275","Wisconsin","Big Ten","1742","194","Ohio State","Big Ten","1932"
"401524039","2023","9","false","true","12","Arizona","Pac-12","1306","204","Oregon State","Pac-12","1544"
"401520354","2023","9","false","true","135","Minnesota","Big Ten","1639","127","Michigan State","Big Ten","1563"
"401524042","2023","9","false","true","24","Stanford","Pac-12","1355","264","Washington","Pac-12","1536"
"401520357","2023","9","false","true","145","Ole Miss","SEC","1658","238","Vanderbilt","SEC","1222"
"401524040","2023","9","false","true","9","Arizona State","Pac-12","1614","265","Washington State","Pac-12","1590"
"401524044","2023","9","false","true","254","Utah","Pac-12","1790","2483","Oregon","Pac-12","1574"
"401520355","2023","9","false","true","158","Nebraska","Big Ten","1636","2509","Purdue","Big Ten","1635"
"401520353","2023","9","false","true","96","Kentucky","SEC","1670","2633","Tennessee","SEC","1640"
"401520356","2023","9","false","true","77","Northwestern","Big Ten","1361","120","Maryland","Big Ten","1496"
"401520359","2023","9","false","true","245","Texas A&M","SEC","1708","2579","South Carolina","SEC","1486"
"401525875","2023","9","false","true","2306","Kansas State","Big 12","1616","248","Houston","Big 12","1620"
"401531899","2023","9","false","true","324","Coastal Carolina","Sun Belt","1647","276","Marshall","Sun Belt","1548"
"401525537","2023","9","false","true","59","Georgia Tech","ACC","1346","153","North Carolina","ACC","1555"
"401525873","2023","9","false","true","239","Baylor","Big 12","1690","66","Iowa State","Big 12","1779"
"401520351","2023","9","false","false","103","Boston College","ACC","1443","41","Connecticut","FBS Independents","1117"
"401531900","2023","9","false","true","256","James Madison","Sun Belt","1300","295","Old Dominion","Sun Belt","1390"
"401531430","2023","9","false","true","249","North Texas","American Athletic","1426","235","Memphis","American Athletic","1490"
"401525538","2023","9","false","true","2390","Miami","ACC","1570","258","Virginia","ACC","1526"
"401525877","2023","9","false","true","251","Texas","Big 12","1633","252","BYU","Big 12","1648"
"401520358","2023","9","false","true","213","Penn State","Big Ten","1670","84","Indiana","Big Ten","1330"
"401525874","2023","9","false","true","2305","Kansas","Big 12","1194","201","Oklahoma","Big 12","1749"
"401525536","2023","9","false","true","154","Wake Forest","ACC","1640","52","Florida State","ACC","1501"
"401531902","2023","9","false","true","6","South Alabama","Sun Belt","1351","309","Louisiana","Sun Belt","1720"
"401525535","2023","9","false","true","97","Louisville","ACC","1568","150","Duke","ACC","1168"
"401531898","2023","9","false","true","2026","Appalachian State","Sun Belt","1656","2572","Southern Mississippi","Sun Belt","1266"
"401531901","2023","9","false","true","2433","Louisiana Monroe","Sun Belt","1207","2032","Arkansas State","Sun Belt","1262"
"401525534","2023","9","false","true","152","NC State","ACC","1632","228","Clemson","ACC","1766"
"401520349","2023","9","false","true","349","Army","FBS Independents","1544","113","UMass","FBS Independents","1036"
"401531903","2023","9","false","true","326","Texas State","Sun Belt","1270","2653","Troy","Sun Belt","1347"
"401520352","2023","9","true","true","57","Florida","SEC","1572","61","Georgia","SEC","1980"
"401525440","2023","9","false","false","87","Notre Dame","FBS Independents","1826","221","Pittsburgh","ACC","1667"
"401532603","2023","9","false","true","36","Colorado State","Mountain West","1399","2005","Air Force","Mountain West","1650"
"401532604","2023","9","false","true","2440","Nevada","Mountain West","1564","167","New Mexico","Mountain West","1229"
"401532605","2023","9","false","true","62","Hawai'i","Mountain West","1432","23","San José State","Mountain West","1338"
"401532433","2023","10","false","true","2117","Central Michigan","Mid-American","1536","2459","Northern Illinois","Mid-American","1376"
"401532434","2023","10","false","true","2649","Toledo","Mid-American","1534","2084","Buffalo","Mid-American","1382"
"401532436","2023","10","false","true","2006","Akron","Mid-American","1096","2309","Kent State","Mid-American","1340"
"401532435","2023","10","false","true","189","Bowling Green","Mid-American","1210","2050","Ball State","Mid-American","1410"
"401525879","2023","10","false","true","2641","Texas Tech","Big 12","1536","2628","TCU","Big 12","1436"
"401531904","2023","10","false","true","2653","Troy","Sun Belt","1347","6","South Alabama","Sun Belt","1351"
"401525539","2023","10","false","true","150","Duke","ACC","1168","154","Wake Forest","ACC","1640"
"401525540","2023","10","false","true","183","Syracuse","ACC","1405","103","Boston College","ACC","1443"
"401532609","2023","10","false","true","2751","Wyoming","Mountain West","1497","36","Colorado State","Mountain West","1399"
"401525880","2023","10","false","true","239","Baylor","Big 12","1690","248","Houston","Big 12","1620"
"401525542","2023","10","false","true","258","Virginia","ACC","1526","59","Georgia Tech","ACC","1346"
"401520377","2023","10","false","false","2633","Tennessee","SEC","1640","41","Connecticut","FBS Independents","1117"
"401531383","2023","10","false","true","5","UAB","American Athletic","1546","2226","Florida Atlantic","American Athletic","1427"
"401531392","2023","10","false","true","218","Temple","American Athletic","1101","2426","Navy","American Athletic","1403"
"401531425","2023","10","false","true","235","Memphis","American Athletic","1490","58","South Florida","American Athletic","1284"
